location,scene
"ToT Reward from Rauru","UNKNOWN"
"Queen Gohma","UNKNOWN"
"King Dodongo","UNKNOWN"
"Barinade","UNKNOWN"
"Phantom Ganon","UNKNOWN"
"Volvagia","UNKNOWN"
"Morpha","UNKNOWN"
"Bongo Bongo","UNKNOWN"
"Twinrova","UNKNOWN"
"Song from Impa","UNKNOWN"
"Song from Malon","UNKNOWN"
"Song from Saria","UNKNOWN"
"Song from Royal Familys Tomb","UNKNOWN"
"Song from Ocarina of Time","UNKNOWN"
"Song from Windmill","UNKNOWN"
"Sheik in Forest","UNKNOWN"
"Sheik in Crater","UNKNOWN"
"Sheik in Ice Cavern","UNKNOWN"
"Sheik at Colossus","UNKNOWN"
"Sheik in Kakariko","UNKNOWN"
"Sheik at Temple","UNKNOWN"
"KF Midos Top Left Chest","OOT_KOKIRI_MIDO"
"KF Midos Top Right Chest","OOT_KOKIRI_MIDO"
"KF Midos Bottom Left Chest","OOT_KOKIRI_MIDO"
"KF Midos Bottom Right Chest","OOT_KOKIRI_MIDO"
"KF Kokiri Sword Chest","OOT_KOKIRI_FOREST"
"KF Storms Grotto Chest","OOT_GROTTOS"
"KF Links House Cow","OOT_LINK_HOUSE"
"KF GS Know It All House","OOT_THIEVES_HIDEOUT"
"KF GS Bean Patch","OOT_THIEVES_HIDEOUT"
"KF GS House of Twins","OOT_THIEVES_HIDEOUT"
"KF Shop Item 1","OOT_KOKIRI_SHOP"
"KF Shop Item 2","OOT_KOKIRI_SHOP"
"KF Shop Item 3","OOT_KOKIRI_SHOP"
"KF Shop Item 4","OOT_KOKIRI_SHOP"
"KF Shop Item 5","OOT_KOKIRI_SHOP"
"KF Shop Item 6","OOT_KOKIRI_SHOP"
"KF Shop Item 7","OOT_KOKIRI_SHOP"
"KF Shop Item 8","OOT_KOKIRI_SHOP"
"KF Behind Midos Blue Rupee","OOT_KOKIRI_FOREST"
"KF Boulder Maze Blue Rupee 1","OOT_KOKIRI_FOREST"
"KF Boulder Maze Blue Rupee 2","OOT_KOKIRI_FOREST"
"KF End of Bridge Blue Rupee","OOT_KOKIRI_FOREST"
"KF Top of Sarias Recovery Heart 1","OOT_KOKIRI_FOREST"
"KF Top of Sarias Recovery Heart 2","OOT_KOKIRI_FOREST"
"KF Top of Sarias Recovery Heart 3","OOT_KOKIRI_FOREST"
"KF Bean Platform Green Rupee 1","OOT_KOKIRI_FOREST"
"KF Bean Platform Green Rupee 2","OOT_KOKIRI_FOREST"
"KF Bean Platform Green Rupee 3","OOT_KOKIRI_FOREST"
"KF Bean Platform Green Rupee 4","OOT_KOKIRI_FOREST"
"KF Bean Platform Green Rupee 5","OOT_KOKIRI_FOREST"
"KF Bean Platform Green Rupee 6","OOT_KOKIRI_FOREST"
"KF Bean Platform Red Rupee","OOT_KOKIRI_FOREST"
"KF Grass Near Ramp Green Rupee 1","OOT_KOKIRI_FOREST"
"KF Grass Near Ramp Green Rupee 2","OOT_KOKIRI_FOREST"
"KF Grass Near Midos Green Rupee 1","OOT_KOKIRI_FOREST"
"KF Grass Near Midos Green Rupee 2","OOT_KOKIRI_FOREST"
"KF Sarias House Recovery Heart 1","OOT_KOKIRI_SARIA"
"KF Sarias House Recovery Heart 2","OOT_KOKIRI_SARIA"
"KF Sarias House Recovery Heart 3","OOT_KOKIRI_SARIA"
"KF Sarias House Recovery Heart 4","OOT_KOKIRI_SARIA"
"KF Links House Pot","OOT_LINK_HOUSE"
"KF Know it All House Pot 1","OOT_KOKIRI_KNOW_IT_ALL"
"KF Know it All House Pot 2","OOT_KOKIRI_KNOW_IT_ALL"
"KF House of Twins Pot 1","OOT_KOKIRI_TWINS"
"KF House of Twins Pot 2","OOT_KOKIRI_TWINS"
"KF Storms Grotto Beehive 1","OOT_GROTTOS"
"KF Storms Grotto Beehive 2","OOT_GROTTOS"
"KF Child Stepping Stones Wonderitem","OOT_KOKIRI_FOREST"
"KF Child Water Wonderitem","OOT_KOKIRI_FOREST"
"KF Child Sign Wonderitem","OOT_KOKIRI_FOREST"
"KF Child Training Wonderitem 1","OOT_KOKIRI_FOREST"
"KF Child Training Wonderitem 2","OOT_KOKIRI_FOREST"
"KF Child Training Wonderitem 3","OOT_KOKIRI_FOREST"
"KF Child Maze Grass Wonderitem 1","OOT_KOKIRI_FOREST"
"KF Child Maze Grass Wonderitem 2","OOT_KOKIRI_FOREST"
"KF Shop Wonderitem","OOT_KOKIRI_SHOP"
"KF Adult Platforms Octorok","OOT_KOKIRI_FOREST"
"KF Adult Near Shop Octorok","OOT_KOKIRI_FOREST"
"KF Adult Path To Deku Skulltula","OOT_KOKIRI_FOREST"
"KF Adult Near Midos House Scrub","OOT_KOKIRI_FOREST"
"KF Adult Near Links House Scrub","OOT_KOKIRI_FOREST"
"KF Adult Near Lost Woods Scrub","OOT_KOKIRI_FOREST"
"KF Adult Near Field Deku Baba","OOT_KOKIRI_FOREST"
"KF Adult Inside Fence Deku Baba","OOT_KOKIRI_FOREST"
"KF Adult Near Links House Deku Baba","OOT_KOKIRI_FOREST"
"KF Adult Near Path To Deku Tree Deku Baba","OOT_KOKIRI_FOREST"
"KF Child Deku Tree Withered Deku Baba 1","OOT_KOKIRI_FOREST"
"KF Child Deku Tree Withered Deku Baba 2","OOT_KOKIRI_FOREST"
"KF Child Deku Tree Withered Deku Baba 3","OOT_KOKIRI_FOREST"
"KF Child Deku Tree Withered Deku Baba 4","OOT_KOKIRI_FOREST"
"KF Child Deku Tree Withered Deku Baba 5","OOT_KOKIRI_FOREST"
"KF Adult Deku Tree Deku Baba 1","OOT_KOKIRI_FOREST"
"KF Adult Deku Tree Deku Baba 2","OOT_KOKIRI_FOREST"
"KF Adult Deku Tree Deku Baba 3","OOT_KOKIRI_FOREST"
"KF Adult Deku Tree Deku Baba 4","OOT_KOKIRI_FOREST"
"KF Adult Deku Tree Deku Baba 5","OOT_KOKIRI_FOREST"
"KF Adult Deku Tree Deku Baba 6","OOT_KOKIRI_FOREST"
